ship_id,NOON_UTC,reference_speed_knots,actual_speed_knots,speed_loss_pct
S1,0,18.9,14.4,23.809523809523803
S1,0,18.9,14.4,23.809523809523803
S1,2,18.9,17.8,5.82010582010581
S1,2,18.9,17.8,5.82010582010581
S1,3,18.9,17.5,7.4074074074074
S1,3,18.9,18.1,4.232804232804218
S1,4,18.9,18.3,3.1746031746031633
S1,5,18.9,18.6,1.5873015873015723
S1,6,18.9,18.8,0.5291005291005179
S1,7,18.9,17.4,7.936507936507938
S1,8,18.9,17.7,6.349206349206346
S1,9,18.9,17.9,5.291005291005291
S1,10,18.9,14.4,23.809523809523803
S1,11,18.9,10.4,44.97354497354497
S1,12,18.9,9.5,49.735449735449734
S1,13,18.9,10.1,46.56084656084656
S1,15,18.9,18.8,0.5291005291005179
S1,16,18.9,19.6,-3.703703703703719
S1,17,18.9,18.6,1.5873015873015723
S1,18,18.9,18.6,1.5873015873015723
S1,19,18.9,17.5,7.4074074074074
S1,20,18.9,12.9,31.74603174603174
S1,21,18.9,12.3,34.92063492063491
S1,22,18.9,12.4,34.391534391534385
S1,22,18.9,12.4,34.391534391534385
S1,23,18.9,10.6,43.91534391534391
S1,24,18.9,11.3,40.2116402116402
S1,25,18.9,11.4,39.68253968253968
S1,26,18.9,22.2,-17.460317460317466
S1,27,18.9,8.0,57.67195767195767
S1,28,18.9,12.4,34.391534391534385
S1,33,18.9,18.8,0.5291005291005179
S1,34,18.9,13.1,30.687830687830687
S1,35,18.9,11.4,39.68253968253968
S1,36,18.9,8.7,53.96825396825397
S1,38,18.9,12.7,32.804232804232804
S1,39,18.9,12.6,33.33333333333333
S1,40,18.9,12.6,33.33333333333333
S1,41,18.9,13.0,31.216931216931208
S1,42,18.9,10.8,42.85714285714285
S1,44,18.9,10.9,42.32804232804232
S1,45,18.9,10.6,43.91534391534391
S1,46,18.9,11.9,37.03703703703703
S1,47,18.9,11.7,38.095238095238095
S1,48,18.9,10.8,42.85714285714285
S1,49,18.9,11.5,39.15343915343915
S1,50,18.9,11.2,40.74074074074074
S1,51,18.9,10.8,42.85714285714285
S1,52,18.9,10.4,44.97354497354497
S1,53,18.9,11.2,40.74074074074074
S1,54,18.9,12.4,34.391534391534385
S1,55,18.9,12.3,34.92063492063491
S1,56,18.9,13.3,29.629629629629623
S1,58,18.9,13.3,29.629629629629623
S1,59,18.9,12.8,32.275132275132265
S1,60,18.9,15.3,19.047619047619037
S1,61,18.9,13.3,29.629629629629623
S1,62,18.9,13.3,29.629629629629623
S1,63,18.9,13.1,30.687830687830687
S1,64,18.9,9.6,49.2063492063492
S1,67,18.9,16.0,15.343915343915338
S1,68,18.9,14.2,24.867724867724867
S1,69,18.9,11.3,40.2116402116402
S1,71,18.9,10.0,47.08994708994709
S1,73,18.9,4.3,77.24867724867724
S1,74,18.9,11.8,37.566137566137556
S1,76,18.9,10.3,45.50264550264549
S1,77,18.9,10.9,42.32804232804232
