ship_id,day,type,severity,value,threshold,mean,std
S1,0.0,HIGH_SPEED_LOSS,HIGH,70.30000000000001,20.0,,
S1,0.0,HIGH_SPEED_LOSS,HIGH,70.30000000000001,20.0,,
S1,2.0,HIGH_SPEED_LOSS,HIGH,167.66666666666666,20.0,,
S1,2.0,HIGH_SPEED_LOSS,HIGH,167.66666666666666,20.0,,
S1,3.0,HIGH_SPEED_LOSS,HIGH,271.56666666666666,20.0,,
S1,3.0,HIGH_SPEED_LOSS,HIGH,250.60000000000002,20.0,,
S1,4.0,HIGH_SPEED_LOSS,HIGH,262.49999999999994,20.0,,
S1,5.0,HIGH_SPEED_LOSS,HIGH,246.16666666666669,20.0,,
S1,6.0,HIGH_SPEED_LOSS,HIGH,257.69999999999993,20.0,,
S1,7.0,HIGH_SPEED_LOSS,HIGH,217.03333333333333,20.0,,
S1,8.0,HIGH_SPEED_LOSS,HIGH,219.86666666666665,20.0,,
S1,9.0,HIGH_SPEED_LOSS,HIGH,196.8,20.0,,
S1,11.0,HIGH_SPEED_LOSS,HIGH,34.00000000000001,20.0,,
S1,15.0,HIGH_SPEED_LOSS,HIGH,191.33333333333334,20.0,,
S1,16.0,HIGH_SPEED_LOSS,HIGH,414.03333333333336,20.0,,
S1,17.0,HIGH_SPEED_LOSS,HIGH,347.8333333333333,20.0,,
S1,18.0,HIGH_SPEED_LOSS,HIGH,341.83333333333337,20.0,,
S1,19.0,HIGH_SPEED_LOSS,HIGH,80.76666666666664,20.0,,
S1,21.0,HIGH_SPEED_LOSS,HIGH,35.90000000000001,20.0,,
S1,22.0,HIGH_SPEED_LOSS,HIGH,61.69999999999999,20.0,,
S1,22.0,HIGH_SPEED_LOSS,HIGH,61.69999999999999,20.0,,
S1,33.0,HIGH_SPEED_LOSS,HIGH,136.66666666666666,20.0,,
S1,34.0,HIGH_SPEED_LOSS,MEDIUM,27.10000000000001,20.0,,
S1,38.0,HIGH_SPEED_LOSS,HIGH,54.79999999999999,20.0,,
S1,39.0,HIGH_SPEED_LOSS,MEDIUM,22.466666666666672,20.0,,
S1,55.0,HIGH_SPEED_LOSS,MEDIUM,22.10000000000001,20.0,,
S1,56.0,HIGH_SPEED_LOSS,HIGH,30.033333333333328,20.0,,
S1,58.0,HIGH_SPEED_LOSS,HIGH,33.300000000000004,20.0,,
S1,59.0,HIGH_SPEED_LOSS,HIGH,34.466666666666676,20.0,,
S1,60.0,HIGH_SPEED_LOSS,HIGH,30.26666666666666,20.0,,
S1,62.0,HIGH_SPEED_LOSS,HIGH,100.06666666666666,20.0,,
S1,67.0,HIGH_SPEED_LOSS,HIGH,128.73333333333335,20.0,,
S1,68.0,HIGH_SPEED_LOSS,HIGH,65.53333333333332,20.0,,
S1,80.0,HIGH_SPEED_LOSS,HIGH,30.066666666666674,20.0,,
S1,80.0,HIGH_SPEED_LOSS,HIGH,30.066666666666674,20.0,,
S1,88.0,HIGH_SPEED_LOSS,HIGH,58.43333333333334,20.0,,
S1,91.0,HIGH_SPEED_LOSS,HIGH,124.20000000000002,20.0,,
S1,92.0,HIGH_SPEED_LOSS,HIGH,211.83333333333331,20.0,,
S1,92.0,HIGH_SPEED_LOSS,HIGH,235.93333333333334,20.0,,
S1,93.0,HIGH_SPEED_LOSS,HIGH,241.63333333333333,20.0,,
S1,94.0,HIGH_SPEED_LOSS,HIGH,225.0,20.0,,
S1,95.0,HIGH_SPEED_LOSS,HIGH,223.4666666666667,20.0,,
S1,96.0,HIGH_SPEED_LOSS,HIGH,189.03333333333333,20.0,,
S1,97.0,HIGH_SPEED_LOSS,HIGH,185.73333333333332,20.0,,
S1,98.0,HIGH_SPEED_LOSS,HIGH,196.2,20.0,,
S1,99.0,HIGH_SPEED_LOSS,HIGH,36.8,20.0,,
S1,103.0,HIGH_SPEED_LOSS,HIGH,170.89999999999998,20.0,,
S1,104.0,HIGH_SPEED_LOSS,HIGH,297.2333333333333,20.0,,
S1,105.0,HIGH_SPEED_LOSS,HIGH,250.20000000000002,20.0,,
S1,106.0,HIGH_SPEED_LOSS,HIGH,135.7,20.0,,
S1,107.0,HIGH_SPEED_LOSS,HIGH,86.56666666666666,20.0,,
S1,112.0,HIGH_SPEED_LOSS,MEDIUM,25.200000000000006,20.0,,
S1,113.0,HIGH_SPEED_LOSS,HIGH,54.63333333333333,20.0,,
S1,118.0,HIGH_SPEED_LOSS,HIGH,236.5333333333333,20.0,,
S1,119.0,HIGH_SPEED_LOSS,HIGH,311.26666666666665,20.0,,
S1,121.0,HIGH_SPEED_LOSS,HIGH,231.99999999999997,20.0,,
S1,122.0,HIGH_SPEED_LOSS,HIGH,260.9,20.0,,
S1,123.0,HIGH_SPEED_LOSS,MEDIUM,23.733333333333327,20.0,,
S1,127.0,HIGH_SPEED_LOSS,HIGH,193.03333333333333,20.0,,
S1,128.0,HIGH_SPEED_LOSS,HIGH,229.43333333333334,20.0,,
S1,129.0,HIGH_SPEED_LOSS,HIGH,211.0,20.0,,
S1,129.0,HIGH_SPEED_LOSS,HIGH,211.0,20.0,,
S1,130.0,HIGH_SPEED_LOSS,HIGH,235.33333333333331,20.0,,
S1,130.0,HIGH_SPEED_LOSS,HIGH,235.33333333333331,20.0,,
S1,131.0,HIGH_SPEED_LOSS,HIGH,245.46666666666667,20.0,,
